user_id,show_watched,duration_watched(minutes),date_watched,gender,age,subscription_type,device_used,rating_given,location,watching_method
8513,The Witcher,,01-01-2023 00:40,Male,40,Basic,Tablet,2,Germany,Watched daily
3612,Narcos,11.15,01-01-2023 00:41,Female,39,Standard,Desktop,3,Australia,Watched daily
8041,Narcos,,01-01-2023 00:42,Male,60,Basic,TV,1,US,Binge-watched
7235,House of Cards,20.23,01-01-2023 00:43,Female,45,Standard,Mobile,1,Germany,Watched weekly
6486,Black Mirror,,01-01-2023 00:44,Female,70,Standard,Tablet,,UK,Watched weekly
8099,BoJack Horseman,87.02,01-01-2023 00:45,Male,36,Premium,,5,Australia,Watched weekly
1775,Narcos,66.84,01-01-2023 00:46,Female,44,Standard,TV,1,Canada,Watched daily
9226,The Crown,63.11,01-01-2023 00:47,Female,69,Standard,TV,5,Canada,Binge-watched
4152,Black Mirror,30.34,01-01-2023 00:48,Female,41,Premium,TV,2,UK,Watched daily
2585,Stranger Things,18.55,01-01-2023 00:49,Female,13,Standard,TV,5,US,Started but didn't finish
4943,House of Cards,24.79,01-01-2023 00:50,Male,36,Standard,TV,5,Canada,Watched daily
8555,The Umbrella Academy,48.03,01-01-2023 00:51,Female,56,Basic,Tablet,2,UK,Watched daily
4073,Stranger Things,88.82,01-01-2023 00:52,Male,15,Standard,Mobile,2,Canada,Started but didn't finish
2021,The Crown,30.54,01-01-2023 00:53,Male,35,Standard,Mobile,5,US,Watched daily
4843,House of Cards,83.83,01-01-2023 00:54,Male,33,Standard,Desktop,3,Australia,Watched weekly
8989,House of Cards,58.98,01-01-2023 00:55,Female,53,Basic,TV,3,Germany,Watched weekly
7873,The Umbrella Academy,106.25,01-01-2023 00:56,Female,23,Standard,,3,UK,Started but didn't finish
6675,Narcos,27.95,01-01-2023 00:57,Female,22,Premium,TV,4,Australia,Watched weekly
1161,Narcos,,01-01-2023 00:58,Female,35,Premium,Mobile,2,Canada,Binge-watched
5297,The Umbrella Academy,11.6,01-01-2023 00:59,Female,52,Basic,,3,US,Binge-watched
1995,The Umbrella Academy,,01-01-2023 01:00,Female,52,Standard,Tablet,5,Australia,Watched daily
8629,The Crown,,01-01-2023 01:01,Male,75,Basic,Tablet,5,Canada,Watched daily
2016,Stranger Things,87.93,01-01-2023 01:02,Female,37,Basic,Tablet,3,US,Watched weekly
8869,Ozark,23.77,01-01-2023 01:03,Male,10,Standard,TV,2,US,Started but didn't finish
7439,Money Heist,26.17,01-01-2023 01:04,Female,21,Standard,TV,5,US,Started but didn't finish
8892,Ozark,75.79,01-01-2023 01:05,Male,59,Basic,Tablet,2,US,Watched daily
7863,The Crown,45.89,01-01-2023 01:06,Male,62,Basic,Mobile,4,UK,Watched weekly
8916,The Witcher,57.85,01-01-2023 01:07,Male,69,Premium,TV,4,Australia,Binge-watched
9529,The Crown,100.34,01-01-2023 01:08,Male,64,Standard,TV,3,Germany,Started but didn't finish
1878,Stranger Things,59.89,01-01-2023 01:09,Male,44,Standard,Desktop,5,UK,Started but didn't finish
5887,House of Cards,78.3,01-01-2023 01:10,Male,70,Standard,Mobile,3,Canada,Watched weekly
5859,Black Mirror,78.81,01-01-2023 01:11,Male,35,Standard,Mobile,1,UK,Binge-watched
7331,Black Mirror,96.43,01-01-2023 01:12,Male,40,Premium,Desktop,,UK,Started but didn't finish
9571,Money Heist,76.58,01-01-2023 01:13,Male,66,Standard,Desktop,3,Canada,Watched daily
9684,Stranger Things,,01-01-2023 01:14,Male,21,Standard,Desktop,3,Germany,Watched weekly
8208,The Umbrella Academy,41.06,01-01-2023 01:15,Female,14,Standard,Desktop,1,UK,Binge-watched
6276,The Crown,118.72,01-01-2023 01:16,Female,16,Basic,Desktop,4,US,Watched daily
3062,Ozark,23.58,01-01-2023 01:17,Female,25,Standard,Desktop,4,UK,Binge-watched
1064,House of Cards,70.41,01-01-2023 01:18,Female,,Premium,TV,2,Canada,Binge-watched
9006,Black Mirror,101.15,01-01-2023 01:19,Female,30,Standard,TV,2,Germany,Binge-watched
3568,Black Mirror,70.39,01-01-2023 01:20,Female,36,Standard,TV,1,UK,Watched daily
6463,Stranger Things,44.67,01-01-2023 01:21,Male,32,Standard,Tablet,5,UK,Watched daily
3027,Money Heist,9.63,01-01-2023 01:22,Female,34,Standard,Desktop,2,Canada,Binge-watched
3695,The Umbrella Academy,43.4,01-01-2023 01:23,Male,20,Premium,Desktop,5,France,Started but didn't finish
6258,The Umbrella Academy,21.85,01-01-2023 01:24,Female,72,Basic,Desktop,3,France,Watched weekly
6618,The Crown,115.3,01-01-2023 01:25,Female,66,Premium,Desktop,3,Australia,Watched daily
7736,The Crown,85.8,01-01-2023 01:26,Female,63,Standard,TV,1,UK,Watched daily
1391,House of Cards,89.93,01-01-2023 01:27,Male,19,Basic,Desktop,1,Australia,Binge-watched
6892,Stranger Things,52.32,01-01-2023 01:28,Female,59,Standard,Tablet,2,US,Watched daily
4561,House of Cards,13.2,01-01-2023 01:29,nan,10,Standard,,2,UK,Binge-watched
7184,BoJack Horseman,32.01,01-01-2023 01:30,Female,79,Basic,TV,2,Australia,Watched daily
4099,Narcos,,01-01-2023 01:31,Female,39,Standard,TV,2,France,Binge-watched
7278,The Umbrella Academy,58.41,01-01-2023 01:32,Male,64,Basic,Tablet,4,UK,Watched daily
9392,Stranger Things,55.32,01-01-2023 01:33,Male,15,Standard,TV,2,US,Binge-watched
4104,Black Mirror,,01-01-2023 01:34,Male,33,Standard,Tablet,4,Germany,Binge-watched
8215,Ozark,59.52,01-01-2023 01:35,Female,14,Standard,Mobile,2,UK,Watched weekly
3454,Black Mirror,118.44,01-01-2023 01:36,Male,16,Premium,Desktop,2,Canada,Started but didn't finish
9996,The Crown,35.8,01-01-2023 01:37,Male,12,Premium,Tablet,4,US,Watched weekly
3731,The Crown,73.83,01-01-2023 01:38,Male,22,Premium,Desktop,4,UK,Watched weekly
9154,Black Mirror,28.74,01-01-2023 01:39,Male,63,Standard,Desktop,1,France,Watched weekly
6056,Narcos,55.99,01-01-2023 01:40,Male,72,Standard,TV,,Australia,Watched daily
9110,Stranger Things,24.01,01-01-2023 01:41,Male,15,Standard,TV,4,UK,Started but didn't finish
4840,Stranger Things,66.98,01-01-2023 01:42,Female,56,Premium,Tablet,3,Australia,Binge-watched
2028,Ozark,31.8,01-01-2023 01:43,Male,64,Basic,Tablet,3,France,Binge-watched
8385,Money Heist,4.41,01-01-2023 01:44,Male,58,Standard,TV,1,Canada,Binge-watched
1502,Black Mirror,97.83,01-01-2023 01:45,Female,66,Premium,Desktop,3,Germany,Watched weekly
7910,Black Mirror,15.39,01-01-2023 01:46,nan,12,Premium,TV,3,France,Watched daily
7938,The Crown,44.16,01-01-2023 01:47,Male,31,Basic,Desktop,1,UK,Started but didn't finish
5488,Narcos,57.26,01-01-2023 01:48,Male,44,Basic,Mobile,4,Canada,Started but didn't finish
1206,Black Mirror,,01-01-2023 01:49,Female,37,Basic,Tablet,3,US,Started but didn't finish
6134,The Witcher,87.08,01-01-2023 01:50,Female,51,Premium,TV,5,UK,Watched daily
6977,Ozark,71.61,01-01-2023 01:51,Female,21,Basic,Desktop,2,Australia,Watched daily
8721,The Crown,35.44,01-01-2023 01:52,Male,10,Premium,Mobile,3,Australia,Watched weekly
8035,Black Mirror,6.2,01-01-2023 01:53,Male,32,nan,Desktop,2,Australia,Started but didn't finish
2484,Stranger Things,92.11,01-01-2023 01:54,Female,37,Premium,Tablet,5,US,Binge-watched
8858,Narcos,42.3,01-01-2023 01:55,Female,78,Premium,,3,Australia,Watched daily
1863,House of Cards,106.77,01-01-2023 01:56,Male,45,Premium,Desktop,2,Australia,Started but didn't finish
3790,Money Heist,47.41,01-01-2023 01:57,Male,,Basic,Tablet,3,France,Started but didn't finish
8408,House of Cards,86.12,01-01-2023 01:58,Female,56,Basic,TV,5,Australia,Watched weekly
9755,House of Cards,112.75,01-01-2023 01:59,Male,65,Premium,Mobile,3,Canada,Binge-watched
6116,Black Mirror,78.14,01-01-2023 02:00,Female,19,Basic,Desktop,1,Germany,Binge-watched
7019,The Witcher,49.62,01-01-2023 02:01,Male,14,Basic,TV,1,UK,Started but didn't finish
2757,Ozark,68.09,01-01-2023 02:02,Male,23,Basic,TV,2,Canada,Watched daily
8574,Money Heist,65.21,01-01-2023 02:03,Male,33,Standard,TV,4,Canada,Watched daily
7374,The Umbrella Academy,70.18,01-01-2023 02:04,Female,,Standard,Tablet,2,Germany,Binge-watched
7892,House of Cards,17.62,01-01-2023 02:05,Male,37,Basic,Mobile,5,Australia,Watched daily
2678,The Witcher,83.82,01-01-2023 02:06,Female,30,Standard,Mobile,4,France,Started but didn't finish
4242,Narcos,17.41,01-01-2023 02:07,Male,,Standard,Tablet,3,Australia,Binge-watched
5636,Stranger Things,1.75,01-01-2023 02:08,Other,71,Premium,Desktop,3,Australia,Watched weekly
2059,The Witcher,74.97,01-01-2023 02:09,nan,60,Basic,Tablet,3,Germany,Watched daily
7668,Stranger Things,14.03,01-01-2023 02:10,Female,49,Basic,Mobile,3,Germany,Watched daily
4157,House of Cards,92.45,01-01-2023 02:11,nan,74,Standard,Tablet,4,Germany,Watched daily
6915,Money Heist,103.92,01-01-2023 02:12,Male,37,nan,Mobile,2,Australia,Started but didn't finish
3693,House of Cards,113.37,01-01-2023 02:13,nan,63,Standard,Mobile,2,US,Watched daily
4627,Stranger Things,,01-01-2023 02:14,Male,11,Basic,Mobile,1,Australia,Watched weekly
6450,Stranger Things,57.84,01-01-2023 02:15,Male,23,Basic,Mobile,3,UK,Watched daily
2663,Narcos,42.27,01-01-2023 02:16,Male,23,Standard,Desktop,1,Germany,Watched weekly
6592,The Umbrella Academy,58.91,01-01-2023 02:17,Female,53,Standard,Mobile,1,UK,Watched daily
8392,The Crown,22.84,01-01-2023 02:18,Female,49,Premium,TV,4,Australia,Binge-watched
2306,Stranger Things,,01-01-2023 02:19,Female,43,Standard,TV,2,Australia,Started but didn't finish
7776,The Umbrella Academy,86.15,01-01-2023 02:20,nan,74,Standard,Mobile,1,Germany,Started but didn't finish
6864,Narcos,26.09,01-01-2023 02:21,Female,27,Standard,Mobile,1,France,Started but didn't finish
8526,BoJack Horseman,31.69,01-01-2023 02:22,Female,43,Standard,,2,France,Binge-watched
9901,Money Heist,89.92,01-01-2023 02:23,Male,58,Standard,Desktop,4,Germany,Watched weekly
6575,Money Heist,21.34,01-01-2023 02:24,Female,64,Basic,Mobile,1,Canada,Started but didn't finish
6530,The Umbrella Academy,29.51,01-01-2023 02:25,Other,71,Premium,Tablet,4,UK,Watched weekly
5413,The Umbrella Academy,2.11,01-01-2023 02:26,Other,79,Standard,Mobile,3,France,Watched daily
4748,The Witcher,86.41,01-01-2023 02:27,Male,33,Premium,Desktop,3,US,Watched daily
1663,Black Mirror,74.15,01-01-2023 02:28,Male,57,Basic,Desktop,5,Canada,Watched weekly
2998,Black Mirror,83.33,01-01-2023 02:29,Male,48,Standard,TV,5,France,Binge-watched
8994,The Witcher,25.72,01-01-2023 02:30,Male,57,Basic,Desktop,3,Canada,Watched weekly
2495,The Umbrella Academy,82.49,01-01-2023 02:31,Male,79,Basic,TV,1,Australia,Watched daily
4304,House of Cards,71.57,01-01-2023 02:32,Female,18,Premium,Desktop,4,UK,Binge-watched
4763,The Witcher,43.93,01-01-2023 02:33,Female,38,Standard,Tablet,1,Australia,Started but didn't finish
6232,The Crown,52.54,01-01-2023 02:34,Female,77,Standard,Desktop,2,Australia,Watched daily
2853,BoJack Horseman,68.15,01-01-2023 02:35,Male,69,Premium,Tablet,3,Canada,Started but didn't finish
7585,House of Cards,59.2,01-01-2023 02:36,Male,35,Standard,,1,US,Watched weekly
2291,Black Mirror,77.02,01-01-2023 02:37,Male,47,Standard,Tablet,4,Canada,Binge-watched
4581,Black Mirror,21.72,01-01-2023 02:38,Male,71,Basic,TV,3,Australia,Binge-watched
8554,The Crown,64.89,01-01-2023 02:39,Male,35,Basic,Desktop,3,France,Binge-watched
8280,Narcos,54.03,01-01-2023 02:40,Male,23,Standard,Tablet,4,US,Watched daily
2636,BoJack Horseman,55.32,01-01-2023 02:41,Female,58,Premium,Tablet,3,Australia,Watched weekly
4696,The Crown,56.33,01-01-2023 02:42,Male,52,Standard,TV,2,UK,Binge-watched
1698,House of Cards,105.78,01-01-2023 02:43,Female,17,Basic,Desktop,2,France,Watched daily
5737,The Umbrella Academy,,01-01-2023 02:44,Female,49,Standard,Mobile,4,UK,Watched weekly
1854,The Umbrella Academy,75.55,01-01-2023 02:45,Female,34,Basic,Mobile,4,Australia,Watched weekly
9164,The Umbrella Academy,85.98,01-01-2023 02:46,Female,72,Premium,Tablet,2,Germany,Started but didn't finish
6855,Stranger Things,5.14,01-01-2023 02:47,Female,13,Standard,TV,3,France,Binge-watched
8392,Money Heist,89.28,01-01-2023 02:48,Female,24,nan,TV,,Canada,Started but didn't finish
7528,House of Cards,58.34,01-01-2023 02:49,Female,25,Basic,TV,,UK,Started but didn't finish
6249,House of Cards,38.13,01-01-2023 02:50,Male,63,Basic,Desktop,3,Canada,Binge-watched
6172,The Crown,16.77,01-01-2023 02:51,Male,20,Standard,Desktop,4,Australia,Watched weekly
2707,BoJack Horseman,9.03,01-01-2023 02:52,Female,37,Premium,Desktop,4,US,Started but didn't finish
6791,Narcos,5.39,01-01-2023 02:53,Male,16,Standard,Mobile,3,UK,Started but didn't finish
6535,Black Mirror,19.42,01-01-2023 02:54,Female,,Premium,Tablet,1,UK,Watched daily
5931,Stranger Things,3.62,01-01-2023 02:55,Female,33,Basic,Desktop,4,US,Watched weekly
4510,Ozark,87.92,01-01-2023 02:56,Male,77,Standard,Tablet,2,US,Watched daily
1202,Stranger Things,29.83,01-01-2023 02:57,Female,46,Standard,TV,2,US,Started but didn't finish
5218,Black Mirror,44.25,01-01-2023 02:58,Female,44,Standard,Desktop,3,Australia,Watched weekly
9958,Black Mirror,98.73,01-01-2023 02:59,Female,15,Standard,Desktop,3,US,Watched weekly
5389,The Umbrella Academy,13.76,01-01-2023 03:00,Female,42,Standard,Desktop,3,Germany,Started but didn't finish
3327,BoJack Horseman,100.27,01-01-2023 03:01,Female,63,Standard,Tablet,3,UK,Watched daily
9004,Narcos,76.74,01-01-2023 03:02,Female,23,Basic,Mobile,3,Australia,Started but didn't finish
3931,The Crown,41.04,01-01-2023 03:03,Female,28,Basic,Mobile,2,Australia,Watched weekly
8777,Stranger Things,14.14,01-01-2023 03:04,Male,20,Standard,,4,Germany,Started but didn't finish
1197,BoJack Horseman,10.98,01-01-2023 03:05,Male,54,Standard,Tablet,4,Germany,Watched weekly
8125,House of Cards,40.26,01-01-2023 03:06,Male,69,Standard,Desktop,3,Canada,Watched weekly
2930,The Witcher,16.84,01-01-2023 03:07,Male,67,Standard,Mobile,5,UK,Binge-watched
7287,Narcos,32.13,01-01-2023 03:08,Male,33,Standard,TV,3,UK,Watched daily
9800,Narcos,6.35,01-01-2023 03:09,Female,20,Standard,Mobile,3,Australia,Watched weekly
5282,The Umbrella Academy,71.4,01-01-2023 03:10,Female,53,Basic,Tablet,1,UK,Watched daily
3511,The Witcher,17.43,01-01-2023 03:11,Female,75,Standard,TV,2,UK,Binge-watched
1659,The Witcher,90.81,01-01-2023 03:12,Female,54,Premium,Tablet,4,US,Watched daily
3811,The Crown,26.18,01-01-2023 03:13,Male,41,Premium,TV,2,France,Binge-watched
8098,Money Heist,95.76,01-01-2023 03:14,Male,26,nan,Tablet,1,Canada,Started but didn't finish
7546,House of Cards,22.79,01-01-2023 03:15,Female,63,Basic,Desktop,3,Canada,Watched weekly
2986,Ozark,86.56,01-01-2023 03:16,Male,19,Basic,Desktop,1,US,Watched weekly
9338,The Crown,39.97,01-01-2023 03:17,Female,15,Premium,Tablet,4,Germany,Watched daily
3911,The Crown,69.97,01-01-2023 03:18,Male,29,Standard,Tablet,4,France,Binge-watched
2734,Ozark,4.64,01-01-2023 03:19,Male,10,Basic,Mobile,3,Canada,Watched daily
2843,Stranger Things,,01-01-2023 03:20,Male,73,Standard,Mobile,4,Germany,Binge-watched
9680,The Witcher,17.84,01-01-2023 03:21,Female,10,Standard,TV,4,UK,Started but didn't finish
3976,The Crown,58.36,01-01-2023 03:22,Female,70,Premium,Tablet,2,Australia,Watched weekly
2959,Narcos,,01-01-2023 03:23,Female,10,Premium,Tablet,4,France,Watched weekly
6759,Stranger Things,52.45,01-01-2023 03:24,Female,55,Basic,Tablet,4,France,Started but didn't finish
7694,Narcos,13.27,01-01-2023 03:25,Female,69,Basic,Mobile,2,Australia,Binge-watched
3385,The Crown,26.39,01-01-2023 03:26,Female,52,Standard,Mobile,4,UK,Binge-watched
5736,Ozark,71.41,01-01-2023 03:27,Female,53,Basic,Desktop,4,Canada,Binge-watched
2802,The Witcher,117.2,01-01-2023 03:28,Male,47,Basic,TV,2,France,Watched weekly
9155,The Witcher,53.9,01-01-2023 03:29,Female,11,Premium,Mobile,3,US,Binge-watched
9120,The Umbrella Academy,82.46,01-01-2023 03:30,Female,21,Premium,TV,5,US,Started but didn't finish
7616,The Witcher,64.73,01-01-2023 03:31,Male,32,Standard,TV,1,US,Binge-watched
6534,Stranger Things,59.8,01-01-2023 03:32,Male,18,Premium,Mobile,2,Australia,Watched daily
5061,Black Mirror,7.76,01-01-2023 03:33,Male,17,Basic,Tablet,3,France,Binge-watched
1262,Black Mirror,17.32,01-01-2023 03:34,Male,59,Premium,Tablet,,Canada,Started but didn't finish
7287,Ozark,105.97,01-01-2023 03:35,Female,71,Standard,Desktop,2,Australia,Watched weekly
9815,Ozark,49.22,01-01-2023 03:36,Female,32,Premium,Tablet,5,Germany,Binge-watched
3049,House of Cards,,01-01-2023 03:37,Female,68,Basic,Tablet,3,Canada,Watched daily
6423,House of Cards,63.39,01-01-2023 03:38,Female,19,Premium,Mobile,3,Germany,Watched daily
5548,The Umbrella Academy,45.47,01-01-2023 03:39,Female,21,Premium,TV,,France,Started but didn't finish
4108,Stranger Things,46.54,01-01-2023 03:40,Male,71,Standard,Tablet,5,UK,Binge-watched
8158,Money Heist,66.66,01-01-2023 03:41,Female,39,Standard,,2,Germany,Binge-watched
8400,The Umbrella Academy,16.94,01-01-2023 03:42,Female,77,Premium,TV,2,Germany,Binge-watched
4170,The Umbrella Academy,46.47,01-01-2023 03:43,Female,56,Basic,Mobile,1,Canada,Watched daily
3255,Ozark,53.64,01-01-2023 03:44,Female,50,Basic,Tablet,3,France,Watched weekly
2154,Ozark,118.22,01-01-2023 03:45,Female,16,Basic,,3,Canada,Binge-watched
5499,Black Mirror,42.17,01-01-2023 03:46,Male,61,Standard,Mobile,3,France,Watched daily
7295,Stranger Things,77.35,01-01-2023 03:47,Female,54,Premium,Desktop,3,Germany,Watched weekly
7197,Ozark,16.49,01-01-2023 03:48,Female,47,Premium,TV,,UK,Started but didn't finish
2648,BoJack Horseman,7.86,01-01-2023 03:49,Female,45,Standard,TV,1,Australia,Started but didn't finish
6539,The Umbrella Academy,104.59,01-01-2023 03:50,Male,67,Premium,Tablet,3,France,Watched daily
5199,Stranger Things,87.69,01-01-2023 03:51,Male,55,Standard,Mobile,1,Germany,Watched daily
9445,Narcos,38.1,01-01-2023 03:52,Male,76,nan,Mobile,4,Australia,Binge-watched
3557,BoJack Horseman,60.55,01-01-2023 03:53,Female,74,Premium,Tablet,1,Australia,Started but didn't finish
6592,Narcos,16.29,01-01-2023 03:54,Male,27,Standard,Mobile,4,UK,Binge-watched
1098,Stranger Things,84.86,01-01-2023 03:55,Female,,Basic,Tablet,5,Canada,Binge-watched
3200,House of Cards,8.44,01-01-2023 03:56,Male,13,Basic,Desktop,,Canada,Started but didn't finish
3961,The Crown,90.84,01-01-2023 03:57,Male,51,Standard,,2,France,Started but didn't finish
5973,The Witcher,65.62,01-01-2023 03:58,Female,58,Premium,Desktop,,France,Started but didn't finish
5433,The Umbrella Academy,33.46,01-01-2023 03:59,Female,58,Basic,Mobile,3,France,Watched weekly
3869,The Umbrella Academy,103.51,01-01-2023 04:00,Female,16,Standard,TV,4,Canada,Binge-watched
1956,House of Cards,118.33,01-01-2023 04:01,Male,18,Standard,Tablet,1,France,Binge-watched
9352,Narcos,30.52,01-01-2023 04:02,Male,36,Standard,,3,Germany,Started but didn't finish
6699,The Witcher,96.75,01-01-2023 04:03,Male,30,Standard,TV,3,Australia,Started but didn't finish
7944,The Crown,90.02,01-01-2023 04:04,Male,44,Standard,Desktop,3,US,Started but didn't finish
5493,BoJack Horseman,89.66,01-01-2023 04:05,Female,45,Standard,Desktop,2,US,Started but didn't finish
5911,Stranger Things,,01-01-2023 04:06,Male,76,Premium,Tablet,4,France,Started but didn't finish
4987,The Crown,58.39,01-01-2023 04:07,nan,52,Premium,Mobile,3,Germany,Watched weekly
7015,Money Heist,80.9,01-01-2023 04:08,Female,17,Standard,,2,Germany,Watched daily
2218,BoJack Horseman,98.87,01-01-2023 04:09,Female,45,Basic,Mobile,,Germany,Binge-watched
5496,The Witcher,57.54,01-01-2023 04:10,nan,57,Standard,Mobile,1,Australia,Watched daily
5735,BoJack Horseman,57.77,01-01-2023 04:11,Male,55,Standard,TV,3,UK,Watched weekly
5555,The Witcher,38.24,01-01-2023 04:12,Male,41,Basic,TV,2,Australia,Binge-watched
9050,Black Mirror,,01-01-2023 04:13,Female,16,Premium,Tablet,3,Germany,Started but didn't finish
4446,Ozark,82.34,01-01-2023 04:14,Male,21,Basic,TV,5,Canada,Watched weekly
2045,Black Mirror,54.14,01-01-2023 04:15,Other,64,Basic,Tablet,4,Canada,Watched weekly
7893,The Umbrella Academy,50.32,01-01-2023 04:16,nan,32,Standard,TV,1,Germany,Started but didn't finish
2693,The Witcher,8.71,01-01-2023 04:17,Female,61,Basic,Desktop,5,US,Started but didn't finish
4436,The Witcher,0.78,01-01-2023 04:18,Female,22,Basic,Desktop,2,UK,Watched daily
9754,The Crown,63.47,01-01-2023 04:19,Female,62,Standard,Desktop,2,Australia,Binge-watched
6895,Stranger Things,50.1,01-01-2023 04:20,Female,72,Standard,TV,3,Canada,Watched weekly
4354,BoJack Horseman,95.52,01-01-2023 04:21,Male,60,Standard,Mobile,5,Canada,Started but didn't finish
1225,BoJack Horseman,65.12,01-01-2023 04:22,Female,67,Basic,TV,1,Canada,Watched weekly
5893,The Umbrella Academy,112.4,01-01-2023 04:23,Male,36,Basic,Desktop,4,Australia,Binge-watched
8022,House of Cards,23.54,01-01-2023 04:24,Female,16,Standard,Tablet,3,UK,Started but didn't finish
6600,The Umbrella Academy,118.82,01-01-2023 04:25,Other,59,Premium,Mobile,4,Germany,Started but didn't finish
8996,Narcos,35.75,01-01-2023 04:26,Male,33,Premium,Desktop,2,UK,Binge-watched
8683,The Witcher,77.09,01-01-2023 04:27,Male,34,Standard,TV,,Germany,Started but didn't finish
5642,Money Heist,60.22,01-01-2023 04:28,Female,53,Standard,Tablet,2,France,Binge-watched
8679,BoJack Horseman,43.15,01-01-2023 04:29,Female,45,Premium,TV,2,Canada,Started but didn't finish
9208,Narcos,16.72,01-01-2023 04:30,Female,66,Basic,Tablet,1,Australia,Binge-watched
8339,Ozark,16.18,01-01-2023 04:31,Female,46,Basic,Desktop,4,US,Watched weekly
3205,Black Mirror,85.38,01-01-2023 04:32,Female,61,Standard,Tablet,1,UK,Binge-watched
2069,BoJack Horseman,45.32,01-01-2023 04:33,Male,72,Standard,Tablet,2,Australia,Watched daily
4444,Money Heist,115.36,01-01-2023 04:34,Female,16,Basic,Tablet,2,UK,Watched weekly
2060,Narcos,39.08,01-01-2023 04:35,Female,69,Standard,Desktop,3,Australia,Watched weekly
3327,Narcos,118.02,01-01-2023 04:36,Male,46,Basic,Tablet,4,Canada,Started but didn't finish
